class     level  zone              n    p50_yld  p50_yld_clr  mean_yld  mean_rms  %clr  %boss  %tpk  %fled  %ext
druid     7      underdark         100  3        0            4.3       3.7       0     7      100   0      0
druid     12     underdark         100  5        5            5.3       6.3       34    84     66    0      0
fighter   3      underdark         100  0        0            0         0         0     0      0     0      0
fighter   7      underdark         100  5        6            4.9       6.1       10    96     90    0      0
fighter   12     underdark         100  4        4            4.8       7         100   100    0     0      0
mage      3      underdark         100  0        0            0         0         0     0      0     0      0
mage      7      underdark         100  2        0            3         3.1       0     0      100   0      0
mage      12     underdark         100  4        4            4.6       5.8       19    60     81    0      0
paladin   3      underdark         100  0        0            0         0         0     0      0     0      0
paladin   7      underdark         100  3        2            4.3       5.9       2     80     98    0      0
paladin   12     underdark         100  4        4            4.8       7         96    100    4     0      0
ranger    3      underdark         100  0        0            0         0         0     0      0     0      0
ranger    7      underdark         100  9        10           9.3       6.3       30    98     70    0      0
ranger    12     underdark         100  9        9            9.7       7         100   100    0     0      0
rogue     3      underdark         100  0        0            0         0         0     0      0     0      0
rogue     7      underdark         100  5        4            4.7       5.8       5     80     95    0      0
rogue     12     underdark         100  5        5            5.5       6.9       94    99     6     0      0
sorcerer  3      underdark         100  0        0            0         0         0     0      0     0      0
sorcerer  7      underdark         100  2        0            2.7       2.9       0     1      100   0      0
sorcerer  12     underdark         100  3        8            3.7       5.1       8     32     92    0      0
warlock   3      underdark         100  0        0            0         0         0     0      0     0      0
warlock   7      underdark         100  2        0            3.5       3.6       0     3      100   0      0
warlock   12     underdark         100  4        2            4.1       5.6       7     69     93    0      0
