class     level  zone              n    p50_yld  p50_yld_clr  mean_yld  mean_rms  %clr  %boss  %tpk  %fled  %ext
cleric    7      manor_blackspire  100  4        0            4.4       5.7       0     34     100   0      0
cleric    12     manor_blackspire  100  3        3            4.1       6.1       17    66     83    0      0
druid     3      manor_blackspire  100  4        0            4.3       5.2       0     17     100   0      0
druid     7      manor_blackspire  100  4        2            4.3       6         1     63     99    0      0
druid     12     manor_blackspire  100  4        4            5         6.8       83    84     17    0      0
fighter   3      manor_blackspire  100  4        0            4.1       5.5       0     17     100   0      0
fighter   7      manor_blackspire  100  4        3            4.6       6.2       15    99     85    0      0
fighter   12     manor_blackspire  100  5        5            5.3       7         100   100    0     0      0
mage      3      manor_blackspire  100  5        0            5.3       3.7       0     0      100   0      0
mage      7      manor_blackspire  100  5        7            6.4       5.9       3     60     97    0      0
mage      12     manor_blackspire  100  6        6            6.6       6.5       53    70     47    0      0
paladin   3      manor_blackspire  100  3        0            3.9       5.8       0     37     100   0      0
paladin   7      manor_blackspire  100  4        4            4.2       6.1       9     99     91    0      0
paladin   12     manor_blackspire  100  4        4            4.5       7         96    100    4     0      0
ranger    3      manor_blackspire  100  3        0            4.5       4.7       0     11     100   0      0
ranger    7      manor_blackspire  100  5        5            6         6.3       33    100    67    0      0
ranger    12     manor_blackspire  100  4        4            5.1       7         100   100    0     0      0
rogue     3      manor_blackspire  100  6        0            6.3       5.6       0     26     100   0      0
rogue     7      manor_blackspire  100  6        21           6.9       6         2     100    98    0      0
rogue     12     manor_blackspire  100  5        5            6.2       6.9       85    100    15    0      0
sorcerer  3      manor_blackspire  100  4        0            4.7       3.7       0     1      100   0      0
sorcerer  7      manor_blackspire  100  7        11           7.1       6         2     40     98    0      0
sorcerer  12     manor_blackspire  100  6        6            6.8       6.5       48    62     52    0      0
warlock   3      manor_blackspire  100  4        0            4.1       4.1       0     1      100   0      0
warlock   7      manor_blackspire  100  5        0            5.3       5.9       0     44     100   0      0
warlock   12     manor_blackspire  100  5        4            5         6.4       36    71     64    0      0
bard      3      underdark         100  0        0            0         0         0     0      0     0      0
bard      7      underdark         100  2        0            2.6       3.7       0     6      100   0      0
bard      12     underdark         100  4        0            4         5.7       0     70     100   0      0
cleric    3      underdark         100  0        0            0         0         0     0      0     0      0
cleric    7      underdark         100  3        0            3.4       3.1       0     1      100   0      0
cleric    12     underdark         100  4        0            4.4       4.5       0     10     100   0      0
druid     3      underdark         100  0        0            0         0         0     0      0     0      0
druid     7      underdark         100  2        0            3.4       3.7       0     5      100   0      0
druid     12     underdark         100  4        4            5         6.2       35    85     65    0      0
fighter   3      underdark         100  0        0            0         0         0     0      0     0      0
fighter   7      underdark         100  4        4            4.1       6         7     88     93    0      0
fighter   12     underdark         100  5        5            5         7         100   100    0     0      0
mage      3      underdark         100  0        0            0         0         0     0      0     0      0
mage      7      underdark         100  3        0            3.7       3.3       0     1      100   0      0
mage      12     underdark         100  3        3            4.1       5.7       16    48     84    0      0
paladin   3      underdark         100  0        0            0         0         0     0      0     0      0
paladin   7      underdark         100  4        11           5         5.9       2     86     98    0      0
paladin   12     underdark         100  4        4            4.6       7         98    100    2     0      0
ranger    3      underdark         100  0        0            0         0         0     0      0     0      0
ranger    7      underdark         100  10       8            10.4      6.2       22    94     78    0      0
ranger    12     underdark         100  9        9            10.2      7         100   100    0     0      0
rogue     3      underdark         100  0        0            0         0         0     0      0     0      0
rogue     7      underdark         100  5        10           5.2       5.9       2     84     98    0      0
rogue     12     underdark         100  4        4            5.2       7         96    99     4     0      0
sorcerer  3      underdark         100  0        0            0         0         0     0      0     0      0
sorcerer  7      underdark         100  1        0            2.7       3.2       0     1      100   0      0
sorcerer  12     underdark         100  3        5            4.1       5.3       10    31     90    0      0
warlock   3      underdark         100  0        0            0         0         0     0      0     0      0
warlock   7      underdark         100  3        0            3.2       3.7       0     7      100   0      0
warlock   12     underdark         100  4        3            4.2       5.8       6     68     94    0      0
