class     level  zone              n    p50_yld  p50_yld_clr  mean_yld  mean_rms  %clr  %boss  %tpk  %fled  %ext
paladin   12     underdark         100  4        4            4.7       6.9       87    100    13    0      0
ranger    3      underdark         100  0        0            0         0         0     0      0     0      0
ranger    7      underdark         100  10       0            11.8      6         0     98     100   0      0
ranger    12     underdark         100  10       16           10.1      6         4     100    96    0      0
rogue     3      underdark         100  0        0            0         0         0     0      0     0      0
rogue     7      underdark         100  5        3            5.3       5.9       1     78     99    0      0
rogue     12     underdark         100  4        4            5         7         99    100    1     0      0
sorcerer  3      underdark         100  0        0            0         0         0     0      0     0      0
sorcerer  7      underdark         100  2        0            3.1       3.1       0     1      100   0      0
sorcerer  12     underdark         100  3        3            3.6       5.1       10    29     90    0      0
warlock   3      underdark         100  0        0            0         0         0     0      0     0      0
warlock   7      underdark         100  3        0            4         3.6       0     5      100   0      0
warlock   12     underdark         100  5        7            5.3       5.8       9     64     91    0      0
