class     level  zone              n    p50_yld  p50_yld_clr  mean_yld  mean_rms  %clr  %boss  %tpk  %fled  %ext
bard      7      underdark         100  3        0            3.2       3.9       0     3      100   0      0
bard      12     underdark         100  3        0            4         5.7       0     59     100   0      0
cleric    3      underdark         100  0        0            0         0         0     0      0     0      0
cleric    7      underdark         100  2        0            3.1       3.2       0     0      100   0      0
cleric    12     underdark         100  3        0            4.2       4.7       0     18     100   0      0
druid     3      underdark         100  0        0            0         0         0     0      0     0      0
druid     7      underdark         100  3        0            3.6       4         0     3      100   0      0
druid     12     underdark         100  6        7            6.3       6.3       34    86     66    0      0
fighter   3      underdark         100  0        0            0         0         0     0      0     0      0
fighter   7      underdark         100  4        3            5         6         4     96     96    0      0
fighter   12     underdark         100  4        4            4.6       7         100   100    0     0      0
mage      3      underdark         100  0        0            0         0         0     0      0     0      0
mage      7      underdark         100  2        0            3.1       3.3       0     2      100   0      0
mage      12     underdark         100  4        5            4.4       5.7       20    50     80    0      0
paladin   3      underdark         100  0        0            0         0         0     0      0     0      0
paladin   7      underdark         100  4        3            4.6       5.9       1     82     99    0      0
paladin   12     underdark         100  4        4            5.2       6.9       94    100    6     0      0
ranger    3      underdark         100  0        0            0         0         0     0      0     0      0
ranger    7      underdark         100  8        8            9.6       6.2       22    99     78    0      0
ranger    12     underdark         100  11       11           12.1      7         100   100    0     0      0
rogue     3      underdark         100  0        0            0         0         0     0      0     0      0
rogue     7      underdark         100  5        4            5.1       5.7       2     73     98    0      0
rogue     12     underdark         100  5        6            6         6.9       94    96     6     0      0
sorcerer  3      underdark         100  0        0            0         0         0     0      0     0      0
sorcerer  7      underdark         100  2        0            2.8       3.1       0     0      100   0      0
sorcerer  12     underdark         100  3        6            4         5.2       8     33     92    0      0
warlock   3      underdark         100  0        0            0         0         0     0      0     0      0
warlock   7      underdark         100  2        0            2.8       3.7       0     4      100   0      0
warlock   12     underdark         100  4        6            4.1       5.7       3     54     97    0      0
